Text,Sentiment,Emotion
'Χρόνια παντρεμένοι με τρία παιδιά',NEGATIVE,SADNESS
'Που είναι το MeToo;',NEGATIVE,ANGER
'Δεν συμφωνώ όμως να βάζεις την αριστερά στον ίδιο τσουβάλι',NEGATIVE,ANGER
'Οι κραυγές της είναι το μόνο που περιγράφει τον πόνο και τον φόβο στην καρδιά της',NEGATIVE,FEAR
'Το κίνημα metoo είναι φοβικό απέναντι στον ρατσισμό κατά των Ελλήνων ',NEGATIVE,ANGER
'Γιατί έχει χτυπήσει κόκκινο η ανωμαλία στους άντρες;',NEGATIVE,ANGER
'Σιγά μη νοιαστούν οι MeToo για τη δολοφονία ενός βιολογικού άντρα (τρανς) από αλλοδαπό',NEGATIVE,ANGER
'που έχουν ανάγκη να αγοράσουν από διαφημιζομενα telemarketing αμφιβόλου ποιότητας προϊόντα',NEGATIVE,DISGUST
'Τι άλλο πρέπει να συμβεί  δηλαδή για να κινητοποιηθεί;',NEGATIVE,ANGER
'ΤΙ ακούμε?',NEGATIVE,DISGUST
'Στην Αγγλία έχει γίνει τεράστιο θέμα η πιθανή επιστροφή του Μέισον Γκρίνγουντ στη Γιουνάιτεντ',NEGATIVE,ANGER
'Είναι εργαλείο ανδρικού διασυρμού',NEGATIVE,ANGER
'Άστα αυτά',NEGATIVE,ANGER
'Τελικά ο δολοφόνος σύζυγός της με τα κονέ την αποτέλειωσε',NEGATIVE,ANGER
να προβάλλεται το ΠενήνταΠενήντα',NEUTRAL,NO-EMOTION
'Το ότι η γονεϊκότητα γίνεται αντιληπτή ως ιδιοκτησία ειδικά στον ύστερο καπιταλσμό του 21ου αιώνα',NEGATIVE,ANGER
'Εννοείται ότι πολιτικά ο Γεωργουλης είναι φελλός',NEGATIVE,ANGER
'απλά τώρα δεν κρύβεται το χάλι του',NEGATIVE,ANGER
'Μπράβο ρε Στέφανεέχεις δίκιο',POSITIVE,JOY
'Οι άντρακλες της εποχής μας δε καταλαβαίνουν ότι όταν μια γυναίκα είναι μεθυσμένη τη σεβόμαστε και δε παίρνουμε σειρά να τη πηδήξουμε',NEGATIVE,ANGER
'Τόση ζημιά έχει επιφέρει το Metoo',NEGATIVE,ANGER
'Συμφωνούμε πως η κάθε γυναίκα έχει δικαίωμα επιλογής όπως πολύ σοφά λέτε',POSITIVE,JOY
'τατουάζ και κοτσιδάκια τύπου ράστα',NEUTRAL,NO-EMOTION
'Για να δούμε αν και τελικά άλλαξε κάτι στις συνειδήσεις …',NEUTRAL,NO-EMOTION
'που σου κόβει τα γόνατα και δεν μπορείς να κάνεις δυο δρασκελιές και να γλυτώσεις από τον εφιάλτη που ζεις',NEGATIVE,SADNESS
'είπες για περίεργους γάμους',NEGATIVE,ANGER
'Φαντάσου να είσαι μάνα και να διαβάσεις τυχαία αυτήν την ανάρτηση',NEGATIVE,SADNESS
'Να είστε κοντά στα παιδιά σας ώστε να αναπτυχθεί σχέση εμπιστοσύνης και όχι φόβου μεταξύ σας',POSITIVE,JOY
'Ούτε οι metoo δεν τρεντάρουν στο Χ ούτε κανείς ευαίσθητος δημοσιογράφος',NEGATIVE,SURPRISE
'Όταν υπάρχει ξέπλυμα φωνάζουμε περισσότερο',NEGATIVE,ANGER
'Η Κορινθίου πρέπει επιτέλους να μιλήσει ανοιχτά',NEGATIVE,ANGER
'Πάντα θα φταίει η γυναίκα στο μυαλό τους',NEGATIVE,ANGER
'Τόσο τοξικές κότες δηλαδή',NEGATIVE,ANGER
'όταν υπάρχεις εσύ που απλά γράφεις τι κρίμα κάντε μου like κατόπιν εορτής',NEGATIVE,ANGER
'Ακόμα μία γυναίκα θύμα βιασμού και βίαιου θανάτου',NEGATIVE,SADNESS
'Να σκορπίσουν μίσος μόνο τους νοιάζει',NEGATIVE,ANGER
'Ας φάνε την σοκολάτα τους οι φεμιναζι και τα υπόλοιπα μίσανδρα σκατά',NEGATIVE,ANGER
'Είχε επιχειρηθεί αυτό πριν 2 χρονια με το MeToo',NEGATIVE,ANGER
'Καμια ανακοίνωση από MeToo για τις σφαγές και τους βιασμούς που γίνονται εις βάρος των γυναικών από το Ισραήλ είχαμε;',NEGATIVE,ANGER
'Καμία τιμωρία δεν είναι αρκετή Τέρας',NEGATIVE,ANGER
Γέμισε ο τόπος απο σιχάματα που δεν μιλάνε σε τέτοιες περιπτώσεις και όταν τιμωρούνται οι ένοχοι είναι συνήθως με ποινές χάδια',NEGATIVE,ANGER
'Για να καταγγείλεις πρέπει να νιώθεις ασφαλής και η ασφάλεια είναι πολυπαραγοντική και περίπλοκη συνθήκη',NEGATIVE,ANGER
'Σε λίγο θα θέλετε και προγαμιαία συμβόλαια',NEGATIVE,ANGER
'σκέψου να πέσει στα χέρια των ισλαμιστών ο νεόνυμφος',NEGATIVE,ANGER
'Αν είχατε φάει ξύλο εσείς θα θέλατε να κυκλοφορεί το πρόσωπο σας στα σόσιαλ;',NEGATIVE,ANGER
'Ένα παράδειγμα για όλα τα μελλοντικά θύματα αλλά και θύτες',NEGATIVE,ANGER
'Τι σεξιστικό ήταν αυτό?',NEGATIVE,ANGER
