Σύμφωνα με τον ΑΝΤ1 οι γείτονες άκουσαν τις δύο νεαρές να φωνάζουν,NEUTRAL,NO-EMOTION
Ο άνδρας ηλικίας 36 ετών από το Πακιστάν κατάφερε να ανέβει  στο μπαλκόνι και άρχισε να αυνανίζεται μπροστά στα μάτια των δύο γυναικών που βρίσκονταν εκείνη την ώρα στο διαμέρισμα των Πετραλώνων,NEGATIVE,DISGUST
Τίποτα αριστεροί και MeToo θα βγούνε να φωνάξουν ή δεν μπορούνε λόγο εορτών;,NEGATIVE,ANGER
Στα μυστήρια του γάμου και της βάπτισης όταν τα κάνεις show το Άγιο Πνεύμα δεν κατεβαίνει για να τα ευλογήσει  και ειναι αμαρτία για εξομολόγηση θανάσιμη,NEGATIVE,SADNESS
Θέλουν δεν θέλουν ένωση φυσιολογική υπάρχει μόνο μεταξύ ανδρός και γυναικός,NEGATIVE,ANGER
Αφήστε τους λοατκι να σκούζουν ,NEGATIVE,ANGER
Εύχομαι ο καινούργιος χρόνος να μας φέρει έναν ηγέτη σαν τον  Πούτιν για την Ελλάδα,NEGATIVE,ANGER
200 κιλά το κάθε ένα σε σχέση με τις ρόμπες τις δικές μας,NEGATIVE,ANGER
Η αγάπη είναι ελευθερία το είπε και η Τσαντούλα,POSITIVE,JOY
Και αν είσαι πραγματικά γυναίκα θα στήριζες την αυτοδιάθεση του σώματος καλή μου και φυσικά την προσωπική ελευθερία,NEGATIVE,ANGER
Γιατί η Θεοφανώ είναι άνθρωπος όχι κτήμα,NEGATIVE,ANGER
"Το «Η Θεοφανώ είναι ΔΙΚΙΑ ΜΟΥ, ΔΙΚΙΑ ΜΟΥ» το βρίσκεις ρομαντικό?",NEGATIVE,ANGER
Όχι είναι μια γυναίκα που ζει σε εποχές MeToo και στηρίζει την αυτοδιάθεση του σώματος,POSITIVE,JOY
Ένα MeToo το έχεις ακουστα;,NEGATIVE,ANGER
Ακόμα και μέσα σε σχέση και μέσα σε γάμο αν η άλλη δεν το ξέρει ή πει όχι θεωρείται μπανιστήρι και βιασμός αντίστοιχα,NEGATIVE,ANGER
Αυτοδιάθεση του σώματος λέγεται,NEGATIVE,ANGER
ΕΔΕ σε ποιον;,NEUTRAL,NO-EMOTION
Στην pfizer;,NEUTRAL,NO-EMOTION
Όχι,NEUTRAL,NO-EMOTION
Σε κανένα γιατρουδάκο ε;,NEGATIVE,ANGER
Τι σχέση έχουν καλέ τα εμβόλια;,NEGATIVE,SURPRISE
Αντιμετωπίζω βία και χρειάζομαι βοήθεια,NEGATIVE,FEAR
Που μπορώ να απευθυνθώ;,NEGATIVE,SADNESS
Λίθινη εποχή 2023,NEGATIVE,SADNESS
Εξάσκηση λιθοβολισμού,NEGATIVE,ANGER
Πώς να λιθοβολείς καλά αρκεί να μην είναι το δικό σου κεφάλι γιατί τότε πονάει ε;,NEGATIVE,ANGER
Γυναίκες στο Ισλάμ χειρότερα και από ζώα,NEGATIVE,ANGER
Σε ποια τρύπα είναι πάλι οι μιτούδες;,NEGATIVE,ANGER
